Entity,FE_CODE,LongName,Frequency,Period,FE_Data_Group,Data_Type,Source,FE_Publication,FE_Publication_Date,Value
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2010,Historical forecasts,Consensus,FocusEconomics,01-01-2010,18-12-2009,3.041003
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2010,Historical forecasts,Consensus,FocusEconomics,01-01-2010,18-12-2009,2.701373
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2010,Historical forecasts,Consensus,FocusEconomics,01-01-2010,18-12-2009,2.758441
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2010,Historical forecasts,Consensus,FocusEconomics,01-01-2010,18-12-2009,2.994435
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2010,Historical forecasts,Consensus,FocusEconomics,01-02-2010,02-02-2010,3.012906
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2010,Historical forecasts,Consensus,FocusEconomics,01-02-2010,02-02-2010,2.727825
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2010,Historical forecasts,Consensus,FocusEconomics,01-02-2010,02-02-2010,2.6913
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2010,Historical forecasts,Consensus,FocusEconomics,01-02-2010,02-02-2010,2.879243
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2011,Historical forecasts,Consensus,FocusEconomics,01-02-2010,02-02-2010,3.021309
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2011,Historical forecasts,Consensus,FocusEconomics,01-02-2010,02-02-2010,3.074599
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2010,Historical forecasts,Consensus,FocusEconomics,01-11-2010,02-11-2010,2.051155
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2011,Historical forecasts,Consensus,FocusEconomics,01-11-2010,02-11-2010,2.317088
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2011,Historical forecasts,Consensus,FocusEconomics,01-11-2010,02-11-2010,2.68066
